alpha,z,series_value,hybrid_value,series_is_finite,hybrid_is_finite
0.65,-40.0,-4.658939147677326e+76,0.009997216029555696,True,True
0.65,-41.0,-8.863251067203333e+77,0.009749157294807097,True,True
0.65,-42.0,-1.570422178607622e+79,0.009513106146928064,True,True
0.65,-43.0,-2.600233759889726e+80,0.00928821161950734,True,True
0.65,-44.0,-4.03585685223209e+81,0.009073701274607597,True,True
0.65,-45.0,-5.8891126436687344e+82,0.00886887235132378,True,True
0.65,-46.0,-8.100926461910852e+83,0.008673084084852586,True,True
0.65,-47.0,-1.053159160127471e+85,0.008485751019429433,True,True
0.65,-48.0,-1.2970652042060418e+86,0.00830633716830445,True,True
0.65,-49.0,-1.5167292218281772e+87,0.008134350898201054,True,True
0.65,-50.0,-1.6875003322186295e+88,0.00796934043555119,True,True
0.65,-51.0,-1.789889372742385e+89,0.007810889908107413,True,True
0.65,-52.0,-1.8132679909845415e+90,0.007658615848982728,True,True
0.65,-53.0,-1.7575678491022437e+91,0.007512164101309813,True,True
0.65,-54.0,-1.6326557176422843e+92,0.007371207070973863,True,True
0.65,-55.0,-1.4557542974259142e+93,0.0072354412826035,True,True
0.65,-56.0,-1.2477694003776688e+94,0.0071045852004782565,True,True
0.65,-57.0,-1.029534919524613e+95,0.006978377281451959,True,True
0.65,-58.0,-8.188122136145161e+95,0.006856574231578848,True,True
0.65,-59.0,-6.285074599688958e+96,0.006738949442009587,True,True
0.65,-60.0,-4.661635294348896e+97,0.006625291583016608,True,True
0.65,-61.0,-3.34472923991487e+98,0.0065154033378096625,True,True
0.65,-62.0,-2.324060703552684e+99,0.006409100260193271,True,True
0.65,-63.0,-1.5654682766507966e+100,0.006306209742163476,True,True
0.65,-64.0,-1.023238191340083e+101,0.006206570079296589,True,True
0.65,-65.0,-6.49606613837778e+101,0.006110029623292466,True,True
0.65,-66.0,-4.009150214723967e+102,0.006016446012336838,True,True
0.65,-67.0,-2.407420243041951e+103,0.005925685471072679,True,True
0.65,-68.0,-1.4076744668489383e+104,0.0058376221729456185,True,True
0.65,-69.0,-8.021228441574902e+104,0.00575213765853521,True,True
0.65,-70.0,-4.457494943547124e+105,0.005669120304220651,True,True
0.65,-71.0,-2.417471675340447e+106,0.005588464836172231,True,True
0.65,-72.0,-1.2804090712722412e+107,0.0055100718852212896,True,True
