seed,noise_level,num_sensors,num_times,alpha_est,beta_est,alpha_relative_error,beta_relative_error,final_loss
5001,0.001,16,6,1.3794823051069223,1.350559119233917,0.0003751412268678441,0.00041416239549402824,1.2467821406312225e-07
5002,0.001,16,6,1.3767260587373324,1.3424202706680024,0.0023724212048314825,0.005614614319998286,1.2336120758276438e-07
5003,0.001,16,6,1.3774309052413127,1.3449528342879524,0.0018616628686138862,0.0037386412681834538,9.579218857691407e-08
5004,0.001,16,6,1.3810171770802946,1.3529344504350895,0.0007370848407932577,0.002173666988955142,8.596875039763935e-08
5000,0.001,8,4,1.379612998310022,1.3465668044240962,0.00028043600723032654,0.002543107834002915,1.3899721248378725e-07
5001,0.001,8,4,1.380924877109564,1.3507138105071248,0.0006702008040318951,0.0005287485237960833,1.2728077880338203e-07
5002,0.001,8,4,1.3788495777943004,1.3477166598986514,0.0008336392794923894,0.001691363038036055,1.1495684840043852e-07
5003,0.001,8,4,1.379729538695318,1.3521902315629344,0.000195986452668117,0.0016223937503217014,8.013921071922846e-08
5004,0.001,8,4,1.382253572686306,1.35282985948432,0.0016330236857291418,0.002096192210607339,6.623643739249645e-08
5000,0.001,4,4,1.377402785121522,1.3447750198889548,0.0018820397670129424,0.003870355637811355,8.564520829649117e-08
5001,0.001,4,4,1.3797728377621168,1.3528753732770047,0.0001646103173065979,0.0021299061311145185,1.3550656981583778e-07
5002,0.001,4,4,1.375234378049606,1.336240730495268,0.0034533492394159303,0.010192051484986787,1.1104278179135773e-07
5003,0.001,4,4,1.3805472561076608,1.3505005750787549,0.00039656239685574763,0.000370796354633173,5.2041369091538094e-08
5004,0.001,4,4,1.3782302527022394,1.3526068151281039,0.001282425578087298,0.0019309741689657702,4.5774563419061915e-08
5000,0.01,128,8,1.3822486402300516,1.3485138497635458,0.0016294494420664265,0.0011008520270031589,1.2152885273497133e-05
5001,0.01,128,8,1.3797270349000577,1.3499912373983698,0.00019780079705959065,6.490816022441947e-06,1.1315528563465732e-05
5002,0.01,128,8,1.3826144716376574,1.351604635037598,0.0018945446649691953,0.0011886185463688896,1.1867098905450031e-05
5003,0.01,128,8,1.3795008498419845,1.347517133436492,0.0003617030130546249,0.0018391604174134496,1.046845045763766e-05
5004,0.01,128,8,1.3895376177751562,1.3663600331211834,0.00691131722837411,0.012118543052728355,9.579477057248122e-06
5000,0.01,16,6,1.3736687408388895,1.3385431606498086,0.004587868957326403,0.008486547666808505,1.2932627378889273e-05
5001,0.01,16,6,1.3748748982149948,1.3554913912288298,0.0037138418731921287,0.004067697206540511,1.2467593633703181e-05
5002,0.01,16,6,1.3473162688534124,1.2737950889309062,0.023683863149701098,0.05644808227340287,1.2336317669675204e-05
5003,0.01,16,6,1.35464421671893,1.299983916871393,0.018373756000775218,0.03704895046563494,9.578640503345515e-06
5004,0.01,16,6,1.3900017560184719,1.3788437128878734,0.007247649288747808,0.021365713250276554,8.59783738466719e-06
5000,0.01,8,4,1.3755673666277586,1.3139301478070409,0.0032120531682908065,0.02671840903182164,1.3902520419272699e-05
5001,0.01,8,4,1.3892955802914106,1.3571263668767979,0.0067359277473990975,0.005278790279109478,1.27288578754982e-05
5002,0.01,8,4,1.3685147321134101,1.3271628361344345,0.008322657888833166,0.016916417678196707,1.1495250781342648e-05
5003,0.01,8,4,1.377165227983053,1.3710118828522941,0.0020541826209759554,0.015564357668365962,8.01361341969545e-06
5004,0.01,8,4,1.403279409537721,1.3794598686889725,0.016869137346174724,0.021822124954794395,6.622299628636835e-06
5000,0.01,4,4,1.3548165534394594,1.2990934894721407,0.01824887431923225,0.03770852631693292,8.578996853792613e-06
5001,0.01,4,4,1.3775683880172749,1.377268546968569,0.0017620376686413137,0.020198923680421445,1.3555438561437198e-05
5002,0.01,4,4,1.3303091864689367,1.2057965618778934,0.036007835892074784,0.10681736157193086,1.1140575048911838e-05
