method,alpha,threshold,z,value,grad_alpha,finite_value,finite_grad
hard,0.65,8.0,-8.0,0.05243110656738281,-0.116455078125,True,True
hard,0.65,8.0,-8.1,0.05271380596527211,-0.11649680697966977,True,True
hard,0.65,8.0,-8.2,0.052022432198314525,-0.11548428466315475,True,True
hard,0.65,8.0,-8.3,0.051348801679462514,-0.11448458683495812,True,True
hard,0.65,8.0,-8.4,0.05069224552187892,-0.113497730515192,True,True
hard,0.65,8.0,-8.5,0.050052127787195554,-0.11252370670507005,True,True
hard,0.65,8.0,-8.6,0.04942784349623926,-0.11156248352870782,True,True
hard,0.65,8.0,-8.7,0.048818816781135435,-0.11061400903498897,True,True
hard,0.65,8.0,-8.8,0.04822449916728727,-0.1096782136971776,True,True
hard,0.65,8.0,-8.9,0.04764436797477774,-0.10875501264354173,True,True
hard,0.65,8.0,-9.0,0.047077924829685654,-0.1078443076483899,True,True
hard,0.65,8.0,-9.1,0.04652469427665662,-0.10694598890953476,True,True
hard,0.65,8.0,-9.2,0.04598422248483558,-0.10605993663522861,True,True
hard,0.65,8.0,-9.3,0.04545607603995855,-0.10518602246100305,True,True
hard,0.65,8.0,-9.4,0.04493984081602549,-0.10432411071454999,True,True
hard,0.65,8.0,-9.5,0.04443512092053999,-0.10347405954475794,True,True
hard,0.65,8.0,-9.6,0.043941537707813005,-0.102635721929234,True,True
hard,0.65,8.0,-9.7,0.0434587288552898,-0.10180894657306819,True,True
hard,0.65,8.0,-9.8,0.0429863474982797,-0.10099357871020488,True,True
hard,0.65,8.0,-9.9,0.04252406141884881,-0.10018946081755568,True,True
hard,0.65,8.0,-10.0,0.04207155228498203,-0.09939643325089748,True,True
smooth,0.65,8.0,-6.0,0.07127070147544146,-0.15564954280853271,True,True
smooth,0.65,8.0,-6.1,0.07002434646710753,-0.15385890007019043,True,True
smooth,0.65,8.0,-6.2,0.06882000714540482,-0.15209972858428955,True,True
smooth,0.65,8.0,-6.3,0.06765563227236271,-0.15037155151367188,True,True
smooth,0.65,8.0,-6.4,0.06652929820120335,-0.1486741304397583,True,True
smooth,0.65,8.0,-6.5,0.06543921306729317,-0.14700722694396973,True,True
smooth,0.65,8.0,-6.6,0.06438367813825607,-0.1453700065612793,True,True
smooth,0.65,8.0,-6.7,0.06336107850074768,-0.14375877380371094,True,True
smooth,0.65,8.0,-6.8,0.06236995756626129,-0.1421794891357422,True,True
smooth,0.65,8.0,-6.9,0.06141536805037041,-0.14056783113440308,True,True
smooth,0.65,8.0,-7.0,0.060500923178787754,-0.13887774671333583,True,True
smooth,0.65,8.0,-7.1,0.05962321756976459,-0.13712641664411507,True,True
smooth,0.65,8.0,-7.2,0.058779373970692175,-0.13534504630331207,True,True
smooth,0.65,8.0,-7.3,0.057966155985617246,-0.13348156314526208,True,True
smooth,0.65,8.0,-7.4,0.05718120229983134,-0.13156268975324875,True,True
smooth,0.65,8.0,-7.5,0.05642197230586855,-0.1296233014913743,True,True
smooth,0.65,8.0,-7.6,0.05568571258198344,-0.1276033444895771,True,True
smooth,0.65,8.0,-7.7,0.054970449952385494,-0.12552321521098742,True,True
smooth,0.65,8.0,-7.8,0.054275428817976076,-0.12311744452357098,True,True
smooth,0.65,8.0,-7.9,0.05359533373681975,-0.12012450356008625,True,True
smooth,0.65,8.0,-8.0,0.0529273667631734,-0.1171106629855134,True,True
smooth,0.65,8.0,-8.1,0.052270378285747245,-0.11287588089264707,True,True
smooth,0.65,8.0,-8.2,0.05162729865215039,-0.1076885467979634,True,True
smooth,0.65,8.0,-8.3,0.050976105731810314,-0.10267501053170974,True,True
smooth,0.65,8.0,-8.4,0.050343458416090864,-0.09334973672421636,True,True
smooth,0.65,8.0,-8.5,0.04969383480464774,-0.08353120276584779,True,True
smooth,0.65,8.0,-8.6,0.04906710867260812,-0.07166990797734724,True,True
smooth,0.65,8.0,-8.7,0.04841609417553486,-0.06012560379741426,True,True
smooth,0.65,8.0,-8.8,0.04780805767804377,-0.05467890157146077,True,True
smooth,0.65,8.0,-8.9,0.04727561583523651,-0.05427725819401456,True,True
smooth,0.65,8.0,-9.0,0.0467953179102937,-0.061777058539567414,True,True
smooth,0.65,8.0,-9.1,0.046400371167435984,-0.08833804481060048,True,True
smooth,0.65,8.0,-9.2,0.04598422248483558,-0.10605993663522861,True,True
smooth,0.65,8.0,-9.3,0.04545607603995855,-0.10518602246100305,True,True
smooth,0.65,8.0,-9.4,0.04493984081602549,-0.10432411071454999,True,True
smooth,0.65,8.0,-9.5,0.04443512092053999,-0.10347405954475794,True,True
smooth,0.65,8.0,-9.6,0.043941537707813005,-0.102635721929234,True,True
smooth,0.65,8.0,-9.7,0.0434587288552898,-0.10180894657306819,True,True
smooth,0.65,8.0,-9.8,0.0429863474982797,-0.10099357871020488,True,True
smooth,0.65,8.0,-9.9,0.04252406141884881,-0.10018946081755568,True,True
smooth,0.65,8.0,-10.0,0.04207155228498203,-0.09939643325089748,True,True
hard,1.25,8.0,-6.0,-0.08716002467486739,-0.5187484895434835,True,True
hard,1.25,8.0,-6.1,-0.08549645741238798,-0.5087559174118041,True,True
hard,1.25,8.0,-6.2,-0.08381173206426062,-0.49852255870926854,True,True
hard,1.25,8.0,-6.3,-0.08211201393562106,-0.4880820813730935,True,True
hard,1.25,8.0,-6.4,-0.08040292995433873,-0.47746661385815514,True,True
hard,1.25,8.0,-6.5,-0.07868960474434417,-0.4667067515374441,True,True
hard,1.25,8.0,-6.6,-0.07697669458618961,-0.45583156875770214,True,True
hard,1.25,8.0,-6.7,-0.07526841937828266,-0.4448686359047116,True,True
hard,1.25,8.0,-6.8,-0.07356859270625193,-0.4338440408833151,True,True
hard,1.25,8.0,-6.9,-0.07188065012313061,-0.42278241446402376,True,True
hard,1.25,8.0,-7.0,-0.0702076757368495,-0.4117069589929372,True,True
hard,1.25,8.0,-7.1,-0.06855242719766608,-0.4006394800023827,True,True
hard,1.25,8.0,-7.2,-0.06691735917271657,-0.3896004202974268,True,True
hard,1.25,8.0,-7.3,-0.06530464539081393,-0.3786088961305154,True,True
hard,1.25,8.0,-7.4,-0.0637161993361488,-0.36768273510995186,True,True
hard,1.25,8.0,-7.5,-0.062153693665692344,-0.35683851551570456,True,True
hard,1.25,8.0,-7.6,-0.06061857842104246,-0.34609160673153383,True,True
hard,1.25,8.0,-7.7,-0.059112098102126254,-0.3354562105204195,True,True
hard,1.25,8.0,-7.8,-0.057635307666195956,-0.3249454029054277,True,True
hard,1.25,8.0,-7.9,-0.05618908751296203,-0.3145711764302064,True,True
hard,1.25,8.0,-8.0,-0.054774157512596844,-0.30434448260615454,True,True
hard,1.25,8.0,-8.1,-0.05583802192429445,-0.339323992257978,True,True
hard,1.25,8.0,-8.2,-0.0544748651852562,-0.3283834722321256,True,True
hard,1.25,8.0,-8.3,-0.0531449400017713,-0.31765620476111345,True,True
hard,1.25,8.0,-8.4,-0.051848387465188266,-0.3071476344825264,True,True
hard,1.25,8.0,-8.5,-0.05058525124984814,-0.296862466637008,True,True
hard,1.25,8.0,-8.6,-0.049355486432466775,-0.28680470208768605,True,True
hard,1.25,8.0,-8.7,-0.048158967729420216,-0.27697767196128004,True,True
hard,1.25,8.0,-8.8,-0.04699549718391404,-0.26738407181188145,True,True
hard,1.25,8.0,-8.9,-0.04586481133359136,-0.2580259952206398,True,True
hard,1.25,8.0,-9.0,-0.04476658788774023,-0.24890496675582446,True,True
hard,1.25,8.0,-9.1,-0.04370045194190739,-0.2400219742280672,True,True
hard,1.25,8.0,-9.2,-0.0426659817564078,-0.23137750018503894,True,True
hard,1.25,8.0,-9.3,-0.0416627141239469,-0.22297155259847706,True,True
hard,1.25,8.0,-9.4,-0.04069014935034055,-0.21480369470438793,True,True
hard,1.25,8.0,-9.5,-0.03974775587113127,-0.20687307396446197,True,True
hard,1.25,8.0,-9.6,-0.038834974525756794,-0.19917845012331475,True,True
hard,1.25,8.0,-9.7,-0.0379512225098274,-0.1917182223421238,True,True
hard,1.25,8.0,-9.8,-0.03709589702501496,-0.184490455394658,True,True
hard,1.25,8.0,-9.9,-0.03626837864504462,-0.17749290491657893,True,True
hard,1.25,8.0,-10.0,-0.0354680344153117,-0.17072304170331754,True,True
smooth,1.25,8.0,-6.0,-0.08716002467486739,-0.5187484895434835,True,True
smooth,1.25,8.0,-6.1,-0.08549645741238798,-0.5087559174118041,True,True
smooth,1.25,8.0,-6.2,-0.08381173206426062,-0.49852255870926854,True,True
smooth,1.25,8.0,-6.3,-0.08211201393562106,-0.4880820813730935,True,True
smooth,1.25,8.0,-6.4,-0.08040292995433873,-0.47746661385815514,True,True
smooth,1.25,8.0,-6.5,-0.07868960474434417,-0.4667067515374441,True,True
smooth,1.25,8.0,-6.6,-0.07697669458618961,-0.45583156875770214,True,True
smooth,1.25,8.0,-6.7,-0.07526841937828266,-0.4448686359047116,True,True
smooth,1.25,8.0,-6.8,-0.07356859270625193,-0.4338440408833151,True,True
