condition,seed,model,inferred_alpha,inferred_rate,heldout_relative_error,late_lag_relative_error,parameter_count,training_seconds,residual_fraction
Brownian slow population,4,MLSL + residual MLP,0.22540565431875914,0.09252943267482235,0.01438622561417441,0.018218131858055445,323,1.5696221999824047,0.04799378416657118
Brownian fast population,0,Exponential,1.0,0.12256101144195407,0.028142632433282445,0.10820535895850601,1,0.0,0.0
Brownian fast population,0,Stretched exponential,1.0013661920878534,0.1242051915776457,0.02555654301152721,0.1522419982619422,2,0.0,0.0
Brownian fast population,0,Direct MLSL inverse,0.9798915355770441,0.13313624494716703,0.019943201234440808,0.11330283658163555,2,0.4098315999144688,0.0
Brownian fast population,0,Pure MLP,,,0.056458149451615085,0.5582313931360711,1153,0.6016021999530494,1.0
Brownian fast population,0,MLSL + residual MLP,1.0215236209544418,0.1385266223982282,0.06516933253133635,0.6637903065055258,323,1.4828571999678388,0.1619287226903261
Brownian fast population,1,Exponential,1.0,0.12245448047137912,0.048427669335844914,0.21434097653513212,1,0.0,0.0
Brownian fast population,1,Stretched exponential,1.0073220378883463,0.12189331105194201,0.04720836687216818,0.2551999322327887,2,0.0,0.0
Brownian fast population,1,Direct MLSL inverse,0.9844239593617388,0.13055764231777509,0.029852447951685568,0.12086716251652542,2,0.4013379999669269,0.0
Brownian fast population,1,Pure MLP,,,0.03170834816109215,0.23595805168237646,1153,0.5796189000830054,1.0
Brownian fast population,1,MLSL + residual MLP,1.015918148894354,0.13749012992201065,0.03834581146135809,0.29719586272141363,323,1.481348600005731,0.13680015701417195
Brownian fast population,2,Exponential,1.0,0.12032525641294065,0.060625855131560144,0.1333276132959625,1,0.0,0.0
Brownian fast population,2,Stretched exponential,0.9980118120485028,0.12309188682893106,0.047440698749865055,0.08840376393648335,2,0.0,0.0
Brownian fast population,2,Direct MLSL inverse,0.9767387964166931,0.13206020304837693,0.04695325544903508,0.3177134420791976,2,0.41889239998999983,0.0
Brownian fast population,2,Pure MLP,,,0.0812038230154245,0.8489502597387493,1153,0.5822187000885606,1.0
Brownian fast population,2,MLSL + residual MLP,1.018734701071106,0.139574715763614,0.08860063252030687,0.9582204373034138,323,1.4808220999548212,0.1696750630371638
Brownian fast population,3,Exponential,1.0,0.12287168181879439,0.037491365593028056,0.22557555025849632,1,0.0,0.0
Brownian fast population,3,Stretched exponential,1.0063813443825642,0.1227854220259271,0.037896326337705045,0.2612392774203631,2,0.0,0.0
Brownian fast population,3,Direct MLSL inverse,0.9830285464146211,0.131901362713893,0.02288933553930948,0.14384950447635012,2,0.41465130005963147,0.0
Brownian fast population,3,Pure MLP,,,0.0246461244774632,0.23285103298083581,1153,0.5699368000496179,1.0
Brownian fast population,3,MLSL + residual MLP,1.0221893549226826,0.13891891535802323,0.04396486006056075,0.41929694717789157,323,1.4710878999903798,0.15918438065656312
Brownian fast population,4,Exponential,1.0,0.12235927322101729,0.034726039991400094,0.179657473708788,1,0.0,0.0
Brownian fast population,4,Stretched exponential,1.0039952483202783,0.12318733953578401,0.03278608632437523,0.22348688206111292,2,0.0,0.0
Brownian fast population,4,Direct MLSL inverse,0.9807826138389115,0.1325444360802735,0.01605703610273891,0.0664619072796754,2,0.40959480009041727,0.0
Brownian fast population,4,Pure MLP,,,0.033346210229318024,0.30725338705545424,1153,0.5719174999976531,1.0
