alpha,selected_terms,converged,work_budget_switched,adaptive_objective,reference_objective,adaptive_gradient,reference_gradient,objective_relative_error,gradient_relative_error
0.6625,84,True,False,0.3452442190030399,0.3452442190030399,-0.16426338605765523,-0.16426338605765523,0.0,0.0
0.665,84,True,False,0.34483327223962545,0.34483327223962545,-0.16449410449925495,-0.16449410449925495,0.0,0.0
0.6675,84,True,False,0.34442174808443826,0.34442174808443826,-0.164725298253245,-0.164725298253245,0.0,0.0
0.6699999999999999,84,True,False,0.34400964535840695,0.34400964535840695,-0.1649569599345,-0.1649569599345,0.0,0.0
0.6725,84,True,False,0.343596962901177,0.343596962901177,-0.165189081924197,-0.165189081924197,0.0,0.0
0.675,84,True,False,0.34318369957173567,0.34318369957173567,-0.16542165636650452,-0.16542165636650452,0.0,0.0
0.6775,84,True,False,0.3427698542490382,0.3427698542490382,-0.1656546751635659,-0.1656546751635659,0.0,0.0
0.6799999999999999,84,True,False,0.3423554258325723,0.3423554258325723,-0.1658881299702557,-0.1658881299702557,0.0,0.0
0.6825,84,True,False,0.3419404132430045,0.3419404132430045,-0.16612201218937628,-0.16612201218937628,0.0,0.0
0.685,84,True,False,0.3415248154228213,0.3415248154228213,-0.16635631296701092,-0.16635631296701092,0.0,0.0
0.6875,84,True,False,0.3411086313369565,0.3411086313369565,-0.16659102318713792,-0.16659102318713792,0.0,0.0
0.69,84,True,False,0.34069185997348267,0.34069185997348267,-0.16682613346661412,-0.16682613346661412,0.0,0.0
0.6925,84,True,False,0.34027450034427464,0.34027450034427464,-0.16706163415008746,-0.16706163415008746,0.0,0.0
0.695,84,True,False,0.3398565514856688,0.3398565514856688,-0.16729751530452575,-0.16729751530452575,0.0,0.0
0.6975,84,True,False,0.3394380124591991,0.3394380124591991,-0.16753376671340448,-0.16753376671340448,0.0,0.0
0.7,84,True,False,0.33901888235230787,0.33901888235230787,-0.1677703778726709,-0.1677703778726709,0.0,0.0
0.7025,84,True,False,0.3385991602790393,0.3385991602790393,-0.16800733798355338,-0.16800733798355338,0.0,0.0
0.705,56,True,True,0.3381788453808348,0.3381788453808348,-0.16824463594817018,-0.16824463594817018,0.0,0.0
0.7075,56,True,False,0.337757936827249,0.337757936827249,-0.1684822603637457,-0.1684822603637457,0.0,0.0
0.71,56,True,False,0.337336433816723,0.337336433816723,-0.16872019951595973,-0.16872019951595973,0.0,0.0
0.7125,56,True,False,0.33691433557740236,0.33691433557740236,-0.16895844137452798,-0.16895844137452798,0.0,0.0
0.715,56,True,False,0.3364916413678787,0.3364916413678787,-0.1691969735861818,-0.1691969735861818,0.0,0.0
0.7175,56,True,False,0.3360683504780724,0.3360683504780724,-0.16943578346959498,-0.16943578346959498,0.0,0.0
0.72,56,True,False,0.3356444622299792,0.3356444622299792,-0.169674858008392,-0.169674858008392,0.0,0.0
0.7224999999999999,56,True,False,0.3352199759786013,0.3352199759786013,-0.16991418384630919,-0.16991418384630919,0.0,0.0
0.725,56,True,False,0.3347948911127415,0.3347948911127415,-0.17015374727998278,-0.17015374727998278,0.0,0.0
0.7275,56,True,False,0.33436920705590883,0.33436920705590883,-0.1703935342533498,-0.1703935342533498,0.0,0.0
0.73,56,True,False,0.3339429232671944,0.3339429232671944,-0.17063353035094764,-0.17063353035094764,0.0,0.0
0.7324999999999999,56,True,False,0.33351603924219175,0.33351603924219175,-0.1708737207920734,-0.1708737207920734,0.0,0.0
0.735,56,True,False,0.333088554513896,0.333088554513896,-0.17111409042371406,-0.17111409042371406,0.0,0.0
0.7375,56,True,False,0.33266046865367616,0.33266046865367616,-0.171354623714862,-0.171354623714862,0.0,0.0
0.74,56,True,False,0.3322317812721956,0.3322317812721956,-0.171595304749232,-0.171595304749232,0.0,0.0
0.7424999999999999,56,True,False,0.3318024920203885,0.3318024920203885,-0.17183611721893044,-0.17183611721893044,0.0,0.0
0.745,56,True,False,0.33137260059047974,0.33137260059047974,-0.17207704441814542,-0.17207704441814542,0.0,0.0
0.7474999999999999,56,True,False,0.33094210671694035,0.33094210671694035,-0.17231806923578574,-0.17231806923578574,0.0,0.0
0.75,56,True,False,0.3305110101775423,0.3305110101775423,-0.17255917414913569,-0.17255917414913569,0.0,0.0
0.7525000000000001,56,True,False,0.33007931079438774,0.33007931079438774,-0.17280034121697696,-0.17280034121697696,0.0,0.0
0.755,56,True,False,0.3296470084349588,0.3296470084349588,-0.1730415520725117,-0.1730415520725117,0.0,0.0
0.7575000000000001,56,True,False,0.32921410301318893,0.32921410301318893,-0.17328278791664076,-0.17328278791664076,0.0,0.0
0.76,56,True,False,0.32878059449056896,0.32878059449056896,-0.17352402951078005,-0.17352402951078005,0.0,0.0
0.7625,56,True,False,0.3283464828772372,0.3283464828772372,-0.17376525716996838,-0.17376525716996838,0.0,0.0
0.765,56,True,False,0.32791176823310003,0.32791176823310003,-0.1740064507556056,-0.1740064507556056,0.0,0.0
0.7675000000000001,56,True,False,0.32747645066900455,0.32747645066900455,-0.1742475896686102,-0.1742475896686102,0.0,0.0
0.77,56,True,False,0.32704053034785857,0.32704053034785857,-0.17448865284195136,-0.17448865284195136,0.0,0.0
0.7725,56,True,False,0.32660400748584956,0.32660400748584956,-0.17472961873370707,-0.17472961873370707,0.0,0.0
0.775,56,True,False,0.32616688235360136,0.32616688235360136,-0.17497046531950744,-0.17497046531950744,0.0,0.0
0.7775000000000001,56,True,False,0.3257291552774198,0.3257291552774198,-0.1752111700856176,-0.1752111700856176,0.0,0.0
0.78,56,True,False,0.32529082664051717,0.32529082664051717,-0.1754517100213775,-0.1754517100213775,0.0,0.0
0.7825,56,True,False,0.3248518968842538,0.3248518968842538,-0.17569206161190465,-0.17569206161190465,0.0,0.0
0.785,56,True,False,0.32441236650941957,0.32441236650941957,-0.17593220083089633,-0.17593220083089633,0.0,0.0
0.7875,56,True,False,0.323972236077515,0.323972236077515,-0.1761721031330623,-0.1761721031330623,0.0,0.0
0.79,56,True,False,0.32353150621206167,0.32353150621206167,-0.17641174344684174,-0.17641174344684174,0.0,0.0
0.7925,56,True,False,0.3230901775999266,0.3230901775999266,-0.17665109616701358,-0.17665109616701358,0.0,0.0
0.795,56,True,False,0.322648250992664,0.322648250992664,-0.17689013514728202,-0.17689013514728202,0.0,0.0
0.7975,56,True,False,0.3222057272078719,0.3222057272078719,-0.1771288336926311,-0.1771288336926311,0.0,0.0
0.8,56,True,False,0.3217626071305871,0.3217626071305871,-0.17736716455230805,-0.17736716455230805,0.0,0.0
0.8025,56,True,False,0.32131889171467803,0.32131889171467803,-0.17760509991218854,-0.17760509991218854,0.0,0.0
0.805,56,True,False,0.3208745819842498,0.3208745819842498,-0.1778426113871916,-0.1778426113871916,0.0,0.0
0.8075,56,True,False,0.32042967903509606,0.32042967903509606,-0.17807967001422043,-0.17807967001422043,0.0,0.0
0.81,56,True,False,0.31998418403615864,0.31998418403615864,-0.1783162462445631,-0.1783162462445631,0.0,0.0
0.8125,56,True,False,0.31953809823097423,0.31953809823097423,-0.1785523099366415,-0.1785523099366415,0.0,0.0
0.815,56,True,False,0.3190914229391905,0.3190914229391905,-0.17878783034849732,-0.17878783034849732,0.0,0.0
0.8175,56,True,False,0.3186441595580751,0.3186441595580751,-0.17902277613074347,-0.17902277613074347,0.0,0.0
0.8200000000000001,56,True,False,0.3181963095640161,0.3181963095640161,-0.1792571153190501,-0.1792571153190501,0.0,0.0
0.8225,56,True,False,0.31774787451411013,0.31774787451411013,-0.17949081532700362,-0.17949081532700362,0.0,0.0
0.825,56,True,False,0.31729885604769326,0.31729885604769326,-0.17972384293898003,-0.17972384293898003,0.0,0.0
0.8275,56,True,False,0.31684925588793617,0.31684925588793617,-0.17995616430285466,-0.17995616430285466,0.0,0.0
0.8300000000000001,56,True,False,0.31639907584344656,0.31639907584344656,-0.18018774492307799,-0.18018774492307799,0.0,0.0
0.8325,56,True,False,0.31594831780987803,0.31594831780987803,-0.1804185496535453,-0.1804185496535453,0.0,0.0
