experiment,time_h,depth_m,temperature_k,inflow_1e-5_kg_s,inlet_temperature_k,column_height_m,vwc
1,0.25,0.24,301.9,8.33,423.15,0.3,0.0
1,0.25,0.27,334.4,8.33,423.15,0.3,0.0
1,0.25,0.3,354.15,8.33,423.15,0.3,0.0
1,0.26666666666666666,0.03,298.65,8.33,423.15,0.3,0.0
1,0.26666666666666666,0.06,298.15,8.33,423.15,0.3,0.0
1,0.26666666666666666,0.09,297.4,8.33,423.15,0.3,0.0
1,0.26666666666666666,0.12,297.9,8.33,423.15,0.3,0.0
1,0.26666666666666666,0.15,298.15,8.33,423.15,0.3,0.0
1,0.26666666666666666,0.18,297.9,8.33,423.15,0.3,0.0
1,0.26666666666666666,0.21,298.4,8.33,423.15,0.3,0.0
1,0.26666666666666666,0.24,303.4,8.33,423.15,0.3,0.0
1,0.26666666666666666,0.27,337.9,8.33,423.15,0.3,0.0
1,0.26666666666666666,0.3,355.4,8.33,423.15,0.3,0.0
1,0.2833333333333333,0.03,299.15,8.33,423.15,0.3,0.0
1,0.2833333333333333,0.06,298.4,8.33,423.15,0.3,0.0
1,0.2833333333333333,0.09,297.65,8.33,423.15,0.3,0.0
1,0.2833333333333333,0.12,298.15,8.33,423.15,0.3,0.0
1,0.2833333333333333,0.15,298.4,8.33,423.15,0.3,0.0
1,0.2833333333333333,0.18,297.9,8.33,423.15,0.3,0.0
1,0.2833333333333333,0.21,298.15,8.33,423.15,0.3,0.0
1,0.2833333333333333,0.24,305.65,8.33,423.15,0.3,0.0
1,0.2833333333333333,0.27,340.65,8.33,423.15,0.3,0.0
1,0.2833333333333333,0.3,356.4,8.33,423.15,0.3,0.0
1,0.3,0.03,299.15,8.33,423.15,0.3,0.0
1,0.3,0.06,297.9,8.33,423.15,0.3,0.0
1,0.3,0.09,297.65,8.33,423.15,0.3,0.0
1,0.3,0.12,297.9,8.33,423.15,0.3,0.0
1,0.3,0.15,298.4,8.33,423.15,0.3,0.0
1,0.3,0.18,298.15,8.33,423.15,0.3,0.0
1,0.3,0.21,298.15,8.33,423.15,0.3,0.0
1,0.3,0.24,307.15,8.33,423.15,0.3,0.0
1,0.3,0.27,342.9,8.33,423.15,0.3,0.0
1,0.3,0.3,357.4,8.33,423.15,0.3,0.0
1,0.31666666666666665,0.03,298.15,8.33,423.15,0.3,0.0
1,0.31666666666666665,0.06,298.4,8.33,423.15,0.3,0.0
1,0.31666666666666665,0.09,297.9,8.33,423.15,0.3,0.0
1,0.31666666666666665,0.12,298.15,8.33,423.15,0.3,0.0
1,0.31666666666666665,0.15,298.4,8.33,423.15,0.3,0.0
1,0.31666666666666665,0.18,298.4,8.33,423.15,0.3,0.0
1,0.31666666666666665,0.21,298.15,8.33,423.15,0.3,0.0
1,0.31666666666666665,0.24,308.9,8.33,423.15,0.3,0.0
1,0.31666666666666665,0.27,344.9,8.33,423.15,0.3,0.0
1,0.31666666666666665,0.3,357.9,8.33,423.15,0.3,0.0
1,0.3333333333333333,0.03,298.9,8.33,423.15,0.3,0.0
1,0.3333333333333333,0.06,297.65,8.33,423.15,0.3,0.0
1,0.3333333333333333,0.09,297.9,8.33,423.15,0.3,0.0
1,0.3333333333333333,0.12,298.4,8.33,423.15,0.3,0.0
1,0.3333333333333333,0.15,298.15,8.33,423.15,0.3,0.0
1,0.3333333333333333,0.18,298.15,8.33,423.15,0.3,0.0
1,0.3333333333333333,0.21,298.15,8.33,423.15,0.3,0.0
1,0.3333333333333333,0.24,311.15,8.33,423.15,0.3,0.0
1,0.3333333333333333,0.27,346.4,8.33,423.15,0.3,0.0
1,0.3333333333333333,0.3,358.9,8.33,423.15,0.3,0.0
1,0.35,0.03,299.15,8.33,423.15,0.3,0.0
1,0.35,0.06,297.9,8.33,423.15,0.3,0.0
1,0.35,0.09,297.9,8.33,423.15,0.3,0.0
1,0.35,0.12,297.65,8.33,423.15,0.3,0.0
1,0.35,0.15,297.9,8.33,423.15,0.3,0.0
1,0.35,0.18,298.15,8.33,423.15,0.3,0.0
1,0.35,0.21,297.4,8.33,423.15,0.3,0.0
1,0.35,0.24,313.65,8.33,423.15,0.3,0.0
1,0.35,0.27,348.15,8.33,423.15,0.3,0.0
1,0.35,0.3,359.4,8.33,423.15,0.3,0.0
1,0.36666666666666664,0.03,299.15,8.33,423.15,0.3,0.0
1,0.36666666666666664,0.06,298.4,8.33,423.15,0.3,0.0
1,0.36666666666666664,0.09,297.65,8.33,423.15,0.3,0.0
1,0.36666666666666664,0.12,298.15,8.33,423.15,0.3,0.0
1,0.36666666666666664,0.15,297.9,8.33,423.15,0.3,0.0
1,0.36666666666666664,0.18,298.15,8.33,423.15,0.3,0.0
1,0.36666666666666664,0.21,298.4,8.33,423.15,0.3,0.0
1,0.36666666666666664,0.24,316.15,8.33,423.15,0.3,0.0
1,0.36666666666666664,0.27,349.65,8.33,423.15,0.3,0.0
1,0.36666666666666664,0.3,359.9,8.33,423.15,0.3,0.0
